first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
balurdlayl,balurdlayl,prss,nurd,ba,la_yl,banurdlayl,control,r,,0,n,l,balurdlayl,2,10,pseudo
koopmental,kiopmental,rss,koop,,ment_al,koopmental,target,r,,1,o,i,kiopmental,1,10,pseudo
inubof,inubof,pr,bof,inu,,inubof,control,r,,0,b,t,inutof,0,6,pseudo
baneillayl,baneillayl,prss,neil,ba,la_yl,baneillayl,control,r,,1,e,a,banaillayl,0,10,pseudo
redefob,redefob,ppr,fob,re_de,,redefob,target,p,0.0,0,r,m,medefob,0,7,pseudo
batrumlayl,batrumlayl,prss,trun,ba,la_yl,batrunlayl,control,r,,3,n,m,batrumlayl,2,10,pseudo
taunist,taunisd,rs,taun,,ist,taunist,target,s,0.0,2,t,d,taunisd,1,7,pseudo
disemwis,disemwis,ppr,wis,dis_em,,disemwis,target,r,,1,i,e,disemwes,0,8,pseudo
repsidpook,repsidpook,ppr,pook,rep_sid,,repsidpook,control,r,,2,o,e,repsidpoek,0,10,pseudo
munuccila,nunuccila,prss,nuc,nu,ci_la,nunuccila,control,p,0.0,0,n,m,munuccila,3,9,pseudo
ernimoos,ernamoos,ppr,moos,er_ni,,ernimoos,control,p,1.0,1,i,a,ernamoos,1,8,pseudo
sencilayl,gencilayl,rsss,gen,,ci_la_yl,gencilayl,control,r,,0,g,s,sencilayl,3,9,pseudo
disgrasien,disgrasien,prs,gras,dis,ion,disgrasion,target,s,0.0,1,o,e,disgrasien,2,10,pseudo
suw,suw,r,siw,,,siw,control,r,,1,i,u,suw,2,3,pseudo
nufradcira,nufradcira,prss,frad,nu,ci_la,nufradcila,control,s,1.0,0,l,r,nufradcira,2,10,pseudo
krewically,krewically,rsss,krew,,ic_al_ly,krewically,target,r,,0,k,f,frewically,0,10,pseudo
gras,gras,r,gras,,,gras,target,r,,3,s,b,grab,0,4,pseudo
nunochila,nunochila,prss,noc,nu,ci_la,nunoccila,control,s,0.0,0,c,h,nunochila,2,9,pseudo
husfeeg,husfeeg,pr,feeg,bus,,busfeeg,control,p,0.0,0,b,h,husfeeg,2,7,pseudo
abconally,asconally,prss,con,ab,al_ly,abconally,target,p,0.0,1,b,s,asconally,1,9,pseudo
rededels,redekels,ppr,kels,re_de,,redekels,target,r,,0,k,d,rededels,3,8,pseudo
faeglayl,faeglayl,rss,feeg,,la_yl,feeglayl,control,r,,1,e,a,faeglayl,2,8,pseudo
kof,kof,r,bof,,,bof,control,r,,0,b,k,kof,2,3,pseudo
talcym,talcym,rs,talc,,yl,talcyl,control,s,0.0,1,l,m,talcym,2,6,pseudo
tlocically,glocically,rsss,gloc,,ic_al_ly,glocically,target,r,,0,g,t,tlocically,3,10,pseudo
sidmemof,sidmemof,ppr,mof,sid_me,,sidmemof,control,p,0.0,0,s,v,vidmemof,0,8,pseudo
overgirt,ovurgirt,pr,girt,over,,overgirt,target,p,0.0,2,e,u,ovurgirt,1,8,pseudo
ceticilly,ceticilly,rsss,cet,,ic_al_ly,cetically,target,s,1.0,0,a,i,ceticilly,2,9,pseudo
unkoulful,unkoulfel,prs,koul,un,ful,unkoulful,target,s,0.0,1,u,e,unkoulfel,1,9,pseudo
nuleilcila,nuleilcila,prss,neil,nu,ci_la,nuneilcila,control,r,,0,n,l,nuleilcila,2,10,pseudo
siytonconi,simtonconi,prs,tonc,sim,oni,simtonconi,control,p,0.0,2,m,y,siytonconi,3,10,pseudo
reoverkeam,reoverkeim,ppr,keam,re_over,,reoverkeam,target,r,,2,a,i,reoverkeim,1,10,pseudo
niheneviyl,niheneviyl,prss,gen,ni,evi_yl,nigeneviyl,control,r,,0,g,h,niheneviyl,2,10,pseudo
unglocally,unglocally,prss,gloc,un,al_ly,unglocally,target,p,0.0,1,n,r,urglocally,0,10,pseudo
teewional,teerional,rss,teer,,ion_al,teerional,target,r,,3,r,w,teewional,3,9,pseudo
unwisical,unwisical,prss,wis,un,ic_al,unwisical,target,r,,1,i,o,unwosical,0,9,pseudo
maf,maf,r,maf,,,maf,control,r,,0,m,w,waf,0,3,pseudo
colf,colf,r,colg,,,colg,control,r,,3,g,f,colf,2,4,pseudo
redeclat,redaclat,ppr,clat,re_de,,redeclat,target,p,1.0,1,e,a,redaclat,1,8,pseudo
unteakally,unteakalln,prss,teak,un,al_ly,unteakally,target,s,1.0,1,y,n,unteakalln,1,10,pseudo
initonc,inutonc,pr,tonc,inu,,inutonc,control,p,0.0,2,u,i,initonc,3,7,pseudo
tonc,tonp,r,tonc,,,tonc,control,r,,3,c,p,tonp,1,4,pseudo
mof,mof,r,mof,,,mof,control,r,,2,f,t,mot,0,3,pseudo
teak,teak,r,teak,,,teak,target,r,,3,k,s,teas,0,4,pseudo
louk,louk,r,louk,,,louk,control,r,,3,k,s,lous,0,4,pseudo
relienmelt,relienment,prs,lien,re,ment,relienment,target,s,0.0,2,n,l,relienmelt,3,10,pseudo
truncirayl,truncilayl,rsss,trun,,ci_la_yl,truncilayl,control,s,1.0,0,l,r,truncirayl,3,10,pseudo
nubofonila,nubofonila,prss,bof,nu,oni_la,nubofonila,control,s,1.0,1,a,e,nubofonile,0,10,pseudo
erpmeak,erpmeak,pr,meak,orp,,orpmeak,control,p,0.0,0,o,e,erpmeak,2,7,pseudo
teat,teat,r,keat,,,keat,control,r,,0,k,t,teat,2,4,pseudo
predisham,predisfam,ppr,fam,pre_dis,,predisfam,target,r,,0,f,h,predisham,3,9,pseudo
simnumdoru,simnumdoru,prs,nurd,sim,oru,simnurdoru,control,r,,2,r,m,simnumdoru,2,10,pseudo
preteer,preteer,pr,teer,pre,,preteer,target,p,0.0,2,e,i,priteer,0,7,pseudo
nipoos,nipook,pr,pook,ni,,nipook,control,r,,3,k,s,nipoos,3,6,pseudo
errinuc,erninuc,ppr,nuc,er_ni,,erninuc,control,p,1.0,0,n,r,errinuc,3,7,pseudo
nufradulf,nufradulf,prs,frad,nu,ulf,nufradulf,control,p,0.0,0,n,m,mufradulf,0,9,pseudo
taunal,taunal,rs,taun,,al,taunal,target,s,0.0,0,a,e,taunel,0,6,pseudo
ermeaknemt,ermeaknert,prs,meak,er,nemt,ermeaknemt,control,s,0.0,2,m,r,ermeaknert,1,10,pseudo
inulouk,inulouk,pr,louk,inu,,inulouk,control,p,0.0,2,u,e,inelouk,0,7,pseudo
cont,cont,r,cont,,,cont,target,r,,2,n,r,cort,0,4,pseudo
talcla,talcla,rs,talc,,la,talcla,control,s,0.0,0,l,r,talcra,0,6,pseudo
conically,corically,rsss,con,,ic_al_ly,conically,target,r,,2,n,r,corically,1,9,pseudo
ernitalc,ernitalc,ppr,talc,er_ni,,ernitalc,control,p,0.0,0,e,a,arnitalc,0,8,pseudo
tecilabmit,tecilabmit,rss,tec,,ilab_yit,tecilabyit,control,s,1.0,0,y,m,tecilabmit,2,10,pseudo
nuriekrl,nuriekyl,prs,riek,nu,yl,nuriekyl,control,s,0.0,0,y,r,nuriekrl,3,8,pseudo
nuwerklayl,nuwerklayl,prss,werk,nu,la_yl,nuwerklayl,control,s,0.0,0,l,m,nuwerkmayl,0,10,pseudo
inkoulity,inkoumity,prs,koul,in,ity,inkoulity,target,r,,3,l,m,inkoumity,1,9,pseudo
misnurtoum,misnurtour,prs,nurt,mis,our,misnurtour,target,s,0.0,2,r,m,misnurtoum,3,10,pseudo
